Player,Team,threep,threes
Russell Westbrook,Thunder,0.344,30
James Harden,Rockets,0.349,49.02
Isaiah Thomas,Celtics,0.38,43.52
Anthony Davis,Pelicans,0.303,8.64
DeMar DeRozan,Raptors,0.273,7.83
Damian Lillard,Trail Blazers,0.372,38.64
DeMarcus Cousins,Pelicans,0.366,25.02
LeBron James,Cavaliers,0.365,25.32
Kawhi Leonard,Spurs,0.382,29.39
Stephen Curry,Warriors,0.419,53.26
Kyrie Irving,Cavaliers,0.406,30.75
Karl-Anthony Towns,Timberwolves,0.371,18.39
Kevin Durant,Warriors,0.377,30.21
Jimmy Butler,Bulls,0.373,19.49
Paul George,Pacers,0.393,36.48
Andrew Wiggins,Timberwolves,0.36,18.25
Kemba Walker,Hornets,0.401,41.24
John Wall,Wizards,0.333,18.63
Bradley Beal,Wizards,0.405,41.48
CJ McCollum,Trail Blazers,0.426,30.1
Giannis Antetokounmpo,Bucks,0.282,13.85
Carmelo Anthony,Knicks,0.366,29.71
Kyle Lowry,Raptors,0.415,50.76
Klay Thompson,Warriors,0.414,46.99
Devin Booker,Suns,0.365,28.18
Gordon Hayward,Jazz,0.399,32.29
Blake Griffin,Clippers,0.342,11.44
Eric Bledsoe,Suns,0.339,29.32
Brook Lopez,Nets,0.347,32.91
Mike Conley,Grizzlies,0.417,40.63
Goran Dragic,Heat,0.406,25.6
Joel Embiid,76ers,0.367,22.84
Jabari Parker,Bucks,0.374,21.4
Marc Gasol,Grizzlies,0.391,22.93
Harrison Barnes,Mavericks,0.348,17.28
Kevin Love,Cavaliers,0.372,44.98
Zach LaVine,Timberwolves,0.388,43.58
Rudy Gay,Kings,0.382,24.89
Dwyane Wade,Bulls,0.31,15.18
Danilo Gallinari,Nuggets,0.388,43.33
Kristaps Porzingis,Knicks,0.358,31.81
Chris Paul,Clippers,0.41,38.22
Paul Millsap,Hawks,0.312,24.76
Derrick Rose,Knicks,0.236,5.63
Dennis Schroder,Hawks,0.345,24.09
Lou Williams, Rockets,0.367,44.23
LaMarcus Aldridge,Spurs,0.411,5.34
Hassan Whiteside,Heat,0,0
George Hill,Jazz,0.405,38.35
Evan Fournier,Magic,0.358,38.34
Nikola Jokic,Nuggets,0.326,16.1
Avery Bradley,Celtics,0.39,35.7
Eric Gordon,Rockets,0.372,64.96
Tobias Harris,Pistons,0.35,29.28
Victor Oladipo,Thunder,0.363,37.67
Dion Waiters,Heat,0.397,32.28
Wilson Chandler,Nuggets,0.34,34.5
D'Angelo Russell,Lakers,0.355,43.93
Jrue Holiday,Pelicans,0.355,31.24
Jeff Teague,Pacers,0.359,27.34
Nicolas Batum,Hornets,0.335,41.33
JJ Redick,Clippers,0.422,52.1
Gary Harris,Nuggets,0.426,39.53
Serge Ibaka,Raptors,0.39,32.35
Khris Middleton,Bucks,0.433,31.23
Jordan Clarkson,Lakers,0.327,33.05
Nikola Vucevic,Magic,0.307,7.27
Jeremy Lin,Nets,0.377,38.5
